TimePeriod.Start,TimePeriod.End,usage_Amount,credit_amount
2023-01-01,2023-02-01,0,0
2023-02-01,2023-03-01,0,0
2023-03-01,2023-04-01,28.9063668077,0
2023-04-01,2023-05-01,83.3213761072,0
2023-05-01,2023-06-01,16.0517532286,0
2023-06-01,2023-07-01,12.4344712441,0
2023-07-01,2023-08-01,46.3908158066,0
2023-08-01,2023-09-01,1310.6374628914,-500
2023-09-01,2023-10-01,798.9776312356,0
2023-10-01,2023-11-01,306.6860284116,-300
2023-11-01,2023-12-01,346.6134797685,0
2023-12-01,2023-12-30,383.5234054763,-383.8315998419
